FECHA,MES,DESCRIPCIÓN,MONTO,CATEGORIA,M. DE PAGO,,,INGRESOS HANDBALL 2024,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Menores,Tranferencia,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Menores,Tranferencia,,,,,INGRESOS:,"$7,251,867.99 ",,19600,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Cadetes,Tranferencia,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$6,120.00 ",Cadetes,Tranferencia ,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$6,120.00 ",Cadetes,Tranferencia ,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$6,120.00 ",Infantil,Tranferencia ,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
5/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$6,480.00 ",Infantil,Tranferencia ,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$6,480.00 ",Cadete,Tranferencia ,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$6,480.00 ",Mini,Tranferencia ,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$6,480.00 ",Cadeta,Tranferencia ,,,,,,,,,,,,,,,/
14/2/2024,febrero,Cuota,"$6,480.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$7,200.00 ",Juvenil,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$7,200.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$7,200.00 ",Cadete,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$7,200.00 ",Mini,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
14/2/2024,febrero,Cuota,"$7,200.00 ",Mayores,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Cadetes,Transferencia,,,,,,,,,,,,,,,
15/2/2024,febrero,Cuota,"$7,200.00 ",Menores,Transferencia,,,,,,,,,,,,,,,
